id,definition
RID13309,
tendon of left extensor digitorum to left middle finger,
portion of serous fluid,Transudate contained in a serous sac.
molecular layer of cerebellar cortex,
probably,[LIRADS] Likely to be true.
paraspinal,
t3 segment of marginal zone of right dorsal gray column of spinal cord,
muscular tributary of ventral tributary of left lumbar vein,
vessels in rim of tumor,"[BI-RADS] US: Blood vessels may be marginal, occupying part or all of the rim of the mass."
suprascapular nerve component of superior trunk segment of right fifth cervical nerve,
superior trunk segment of right median nerve,
aneurysm,"A sac formed by the dilatation of the wall of an artery, a vein, or the heart. [MeSH]"
Throckmorton sign,"The penis points to the side of the body with the pathology.  Irrelevant, made-up term."
pectoral branch of thoraco-acromial artery,
mandibular canal,
brodmann area 41 of right superior temporal gyrus,
left anterior transverse temporal gyrus,
uranium,"Uranium. A radioactive element of the actinide series of metals. It has an atomic symbol U, atomic number 92, and atomic weight 238.03. U-235 is used as the fissionable fuel in nuclear weapons and as fuel in nuclear power reactors. [MeSH]"
medial dorsal digital nerve of right big toe,
set of renal columns of left kidney,
plasmacytoma,"Any discrete, presumably solitary, mass of neoplastic plasma cells either in bone marrow or various extramedullary sites. [MeSH]"
spinal branch of right fourth lumbar artery,
mucosa of sigmoid colon,
medial longitudinal fasciculus of midbrain,
posterior cutaneous branch of posterior ramus of lumbar nerve,
Neuhaser sign,Normal nasopharyngeal lymphoid tissue is absent on a lateral radiograph. Suggests congenital agammaglobulinemia.
articular cartilage of fibular facet of tibia,
trunk of lateral ampullary nerve,
nerve to left flexor digitorum superficialis,
occipital lobe proper,
diaphysis of left radius,
notch region of left scapula,
left limitans nucleus,
OrderCreated,(When) the order was created
connective tissue of serosa of liver,
brodmann area 40 of left postcentral gyrus,
medial proper palmar digital branch of right median nerve to right middle finger,
neural network of bony part of fourth metatarsal bone,
branch of posterior superior alveolar artery,
posterior temporal branch of right middle cerebral artery,
fiducial marker,
moulage sign,"Bowel is dilated with effaced folds, resembling a smooth tube filled with wax. Suggests celiac sprue."
rugal fold of zone of stomach,
adventitia of subdivision of minor calyx,
synovial fold,
right radial recurrent artery,
segment of medial frontal gyrus,
oblique muscle layer of body of stomach,
prostatic part of inferior vesical artery,
basal surface proper of cerebral hemisphere,
left Brodmann area 37,
trunk of interosseous branch of lateral terminal branch of left deep fibular nerve,
right medial mammillary nucleus,
nerve to right nasalis,
communicating branch between left medial common plantar digital nerve with left third common plantar digital nerve,
left medial longitudinal fasciculus of medulla,
gray communicating ramus to second cervical spinal nerve,
tributary of superior thalamostriate vein,
muscle layer of left intermediate major calyx,
lateral head of left flexor hallucis brevis,
dura mater of anterior rootlet of right fifth lumbar nerve,
transplantation,"Transference of a tissue or organ, alive or dead, within an individual, between individuals of the same species, or between individuals of different species. [MeSH]"
superior laryngeal vein,
t8 segment of right dorsal funiculus of spinal cord,
set of vaginal nerves,
ventral branch of lumbar artery,
outer layer of endometrium,
zone of fascia lata,
set of minor renal calyces,
middle posterior division segment of C7 root of right radial nerve,
glandular branch of inferior thyroid artery,
articular branch of median nerve,
not requiring a physician,
superficial peroneal retinaculum,
posteromedial,
left second lumbar vein,
gray matter of anterior cingulate gyrus,
adventitia,"The outermost covering of organs, blood vessels, and other such structures in the body. It is composed of connective tissue. [MeSH]"
subgyral segment of right occipital lobe,
laterodorsal tegmental nucleus,
infraclavicular lymph node,
rim sign of pelvis,"Thin, curvilinear opacity around a pelvic mass on an intravenous pyelogram. Suggests cystic mass, especially ovarian."
region of investing fascia of hand,
diaphysis of phalanx of ring finger,
articular cartilage of acromion,
medial head of right gastrocnemius,
zone of abdominal aorta,
left rostromedial auditory cortex,
superior recess of anterior mediastinum,
thoracodorsal nerve component of posterior root of left sixth cervical nerve,
circular muscle layer of thoracic part of esophagus,
right inguinal triangle,
tendon of right temporalis,
right spinalis thoracis,
ascending branch of inferior mesenteric artery,
right inferior laryngeal artery,
left suboccipital nerve,
metallic,
trunk of pre-brachial plexus segment of C6 component of median nerve,
branch of olfactory nerve,
white matter of left supracallosal gyrus,
medial branch of posterior ramus of left tenth thoracic nerve,
dilation procedure type,
CT dose length product,
wire,"Steel wires, often threaded through the skin, soft tissues, and bone, used to fix broken bones. Kirschner wires or apparatus also includes the application of traction to the healing bones through the wires. [MeSH]"
plantar nail matrix of toe,
segment of musculocutaneous nerve nucleus of spinal cord,
subdivision of eustachian tube,
malleolar stria of tympanic membrane,
c8 segment of right lateral corticospinal tract,
lymphadenopathy,"Diseases of lymph or lymph vessels. [MeSH]
Pathology.—By common usage, the term lymphadenopathy is usually restricted to enlargement, due to any cause, of the lymph nodes. Synonyms include lymph node enlargement (preferred) and adenopathy.
CT scans.—There is a wide range in the size of normal lymph nodes. Mediastinal and hilar lymph nodes range in size from sub-CT resolution to 12 mm. Somewhat arbitrary thresholds for the upper limit of normal of 1 cm in short-axis diameter for mediastinal nodes (79) and 3 mm for most hilar nodes (80) have been reported, but size criteria do not allow reliable differentiation between healthy and diseased lymph nodes (Fig 36).  [Fleischner Society]
BI-RADS MRI:  Enlarged, rounded lymph nodes with loss of fatty hila."
lateral dorsal digital branch of radial nerve to right index finger,
cutaneous branch of lateral branch of posterior ramus of left third lumbar nerve,
left dorsal gray column of spinal cord,
trunk of branch of left recurrent laryngeal nerve to left posterior crico-arytenoid,
anterior chest wall,
polar temporal artery,
homogeneous background echotexture,Fat lobules and uniformly echogenic bands of supporting structures (Cooper's ligaments) comprise the bulk of breast tissue.  No discrete hypochoic areas are present in the area scanned.
proximal interphalangeal joint of finger,
intermediate nail matrix of right second toe,
c7 ventral column nucleus of left lateral pectoral nerve,
trunk of anterior branch of obturator nerve,
c4 segment of left lateral corticospinal tract,
neuroglial network of C1 segment of spinal cord,
cutaneous branch of lateral branch of posterior ramus of right twelfth thoracic nerve,
linear enhancement,BI-RADS MRI: enhancement arrayed in a line (not necessarily a straight line) or a line that branches
tympanic lamella,
neural tissue of right facial nerve,
superficial part of organ,
branch of right anterior choroidal artery to right amygdaloid body,
left upper hemithorax,
lateral branch of posterior ramus of seventh thoracic nerve to longissimus thoracis,
tympanic canaliculus,
trunk of transversus perinei profundus muscle branch of right perineal nerve,
gastric gland proper,
disc bulge,"disc tissue ""circumferentially"" (50-100%) beyond the edges of the ring apophyses"
s2 segment of left ventral gray column of spinal cord,
juxtaarticular cyst,
right insular artery,
parietoorbital oblique projection,
upper zone of subscapularis,
s2 segment of left dorsal gray column of spinal cord,
RID11526,
segment of superior frontal gyrus,
intraprostatic part of left ejaculatory duct,
basal surface of left cerebral hemisphere,
infracolic space,
medial condylar facet of patella,
dura mater of anterior root of tenth thoracic nerve,
tendon of second palmar interosseous of left hand,
s2 segment of substantia gelatinosa,
s1 root of right posterior femoral cutaneous nerve,
trunk of branch of right hypoglossal nerve to right ansa cervicalis,
right bulbo-urethral gland,
distal metaphysis of proximal phalanx of right little finger,
RID35529,Lumen and back wall of gallbladder are not visible on ultrasound. Suggests gallbladder is filled with stones.
opponens digiti minimi muscle of hand,
tennis racquet sign,"Gestational sac is compressed and surrounded by inadequate decidual reaction on an ultrasound, resembling a tennis racquet. Suggests blighted ovum."
ostium of lobular duct of pancreas,
medial antebrachial cutaneous nerve component of trunk of anterior division of anterior ramus of left eighth cervical nerve,
trunk of sphincter ani externus branch of perineal nerve,
l4 segment of left substantia gelatinosa,
polar part of left inferior frontal gyrus,
region of peripheral zone of prostate,
left lateral aortic lymphatic chain,
t1-L2 segment of right ventral gray column of spinal cord,
right spino-olivary tract of spinal cord,
vein of right uncus,
distal metaphysis of proximal phalanx of ring finger,
peripheral segment of facial nerve,
intertubercular sulcus of diaphysis of right humerus,
multiform layer of left frontal lobe,
body of left scapula,
trunk of branch of temporal branch of right facial nerve to right corrugator supercilii,
lateral dorsal digital branch of radial nerve to left ring finger,
muscular branch of median nerve,
runoff,
retinitis,"Inflammation of the retina. It is rarely limited to the retina, but is commonly associated with diseases of the choroid (chorioretinitis) and of the optic disk (neuroretinitis). [MeSH]"
lateral surface of right scalenus medius,
trunk of communicating branch of left internal laryngeal nerve with left recurrent laryngeal nerve,
posterior wall of horizontal part of duodenum,
subarachnoid fossa,
belly of clavicular head of left sternocleidomastoid,
transpleural,
thick septae,
skin of third toe,
intermediately aggressive,
set of rootlets of sixth cervical nerve,
cardiac branch of right vagus to deep cardiac plexus,
retropharyngeal space of head,
region of organ surface,"Anatomical surface, which is the subdivision of the surface of an organ. Examples: diaphragmatic surface of lung, sternocostal surface of heart, anterior surface of stomach."
RID7104,
right cerebellar vein,
left third dorsal digital nerve,
tendon of left semitendinosus,
distal tendon of left deltoid,
posterior wall of duodenum,
peripheral segment of left seventh cervical spinal nerve,
articular facet of patella,
constricted,
branch of anterior choroidal artery to retrolentiform limb of internal capsule,
belly of biceps femoris,
neuroglial network of L4 segment of spinal cord,
superficial peroneal nerve,
Lindblom view,
area of origin of right fibular collateral ligament,
lingual aponeurosis,
mucosa of ampulla of right uterine tube,
anterior rootlet of left ninth thoracic nerve,
posterior part of abdominal peritoneum,
inferior branch of right oculomotor nerve,
trunk of branch of saphenous nerve,
right lateral view,
root of right second thoracic nerve,
zero-filling,
neural tissue of left oculomotor nerve,
meningeal branch of right hypoglossal nerve to wall of right inferior petrosal sin,
ovarian ligament,
t1 branch to iliocostalis thoracis,
pseudocapsule (liver),[LIRADS] Imaging appearance of a “capsule” around a mass when no true tumor capsule is present at histological evaluation.
wall of vestibular part of lesser sac,
trunk of pulmonary vein,
posterior rootlet of right fifth thoracic nerve,
greater curvature of stomach (line),
right side of chest,
t9 segment of left ventral gray column of spinal cord,
vasculature of upper gastro-intestinal tract,
plexiform layer of right Brodmann area 24,
internal granular layer of right Brodmann area 18,
subtendinous bursa of right triceps brachii,
septum of organ,
pseudoaneurysm,
calcification,
left diaphragmatic peritoneum,
posterior palpebral margin,
posterior ligament of pinna,
anterior rootlet of first lumbar nerve,
region of wall of lesser sac,
trunk of thoracic cardiac branch of left vagus nerve,
intramuscular lipoma,
mixed margin,
descending branch of meningeal branch of right third thoracic nerve,
axillary lymph node,BI-RADS US:
right deep infrapatellar bursa,
lamina propria mucosae of ascending colon,
skin of plantar part of right big toe,
set of muscular branches of intercostal nerves,
third cervical nerve,
Lung-RADS assessment,"The ACR Lung Imaging Reporting and Data System (Lung-RADS™) is the product of the ACR Lung Cancer Screening Committee subgroup on Lung-RADS. This system is a quality assurance tool designed to standardize lung cancer screening CT reporting and management recommendations, reduce confusion in lung cancer screening CT interpretations and facilitate outcome monitoring."
epinephrine,
skeletal muscle of anterior thigh,
anterior wall of distal part of jejunum,
preganglionic segment of posterior root of left fifth cervical spinal nerve,
rhomboid occipitalis branch of right dorsal scapular artery,
neuroglial network of white matter of T8 segment,
set of rootlets of left first cervical nerve,
right fifth anterior cervical intertransversarius,
brodmann area 32 of right cingulate gyrus,
interosseous ligament of left fourth carpometacarpal joint,
median nerve component of trunk proper of anterior ramus of right first thoracic nerve,
acellular membrane,
labium majus branch of left ilioinguinal nerve,
anterior inferior segmental branch of left renal artery,
multiform layer of right Brodmann area 16,
high-attenuating crescent sign,"Presence of a crescent-shaped rim of increased attenuation on non-contrast CT images of the aorta.  Suggests intramural aortic dissection, and may herald aortic rupture."
left gastro-epiploic lymph node,
incisura tentorii,
proximal segment of C7 root of lateral pectoral nerve,
radicular branch of vertebral artery,
lateral part of scapula,
lateral lip of left bicipital groove,
peripheral segment of left fifth thoracic spinal nerve,
long bone,
ventral white commissure,
posterior rootlet of right second cervical nerve,
superficial needle biopsy,
interganglionic branch of inferior cervical ganglion to first thoracic ganglion,
intestinal lymphatic vessel,
ulnar nerve component of trunk of left eighth cervical nerve,
left inferior cervical ganglion,
lateral flexure of rectum,
segment of T1 root of median nerve,
neural network of trunk,
right costoclavicular compartment,
brodmann area 31 of left limbic lobe,
palmar ligament of right fifth carpometacarpal joint,
ureteric segment of right renal artery,
wall of abdomen,
distal zone of right latissimus dorsi,
puboprostatic ligament,
opercular part of right inferior frontal gyrus,
external pyramidal layer of Brodmann area 52,
RID6514,
subdivision of apical part of transition zone of prostate,
halo sign of lung,Ground-glass attenuation surrounding a pulmonary nodule or mass on CT images. Represents hemorrhage and is highly suggestive of Aspergillus.
cardresp gated,
port placement,
triceps branch of right circumflex scapular artery,
joint of lower extremity,
myxoid chondrosarcoma,
right fifth sacral ganglion,
anterior cutaneous branch of right ninth intercostal nerve,
branch of dorsal scapular nerve,
thoracodorsal nerve component of trunk of posterior division of anterior ramus of seventh cervical nerve,
sharp kernel,
oropharyngeal,administration directly to the mouth and pharynx.
left ophthalmic nerve,
trunk of subcostal nerve,
radial nerve branch of posterior division of anterior ramus of left sixth cervical nerve,
proximal epiphysis of left second metacarpal bone,
posterior rootlet of left seventh cervical nerve,
gemistocytic astrocytoma,
apex of arytenoid cartilage,
trunk of left medial plantar nerve,
extraprostatic part of ejaculatory duct,
sphenoethmoidal synchondrosis,
right splenius capitis,
glottis,"The vocal apparatus of the larynx, consisting of the true vocal cords (plica vocalis) and the opening between them (rima glottidis). [MeSH]"
dorsal nail matrix of left second toe,
medial branch of second thoracic ganglion,
neuronal component of T6 segment,
craniocaudal projection,
mucosa of region of uterine tube,
t1 dorsal column nucleus of right ulnar nerve,
trunk of posterior pulmonary nerve plexus,
posterior pararenal space,
embryonal neuroepithelial neoplasm,
medial zone of superior part of body of left scapula,
parenchyma of inferior renal segment,
dorsal branch of right first lumbar artery,
RID29045,A continuant that is either dependent on one or other independent continuant bearers or inheres in or is borne by other entities. [BFO]
oxidant gas inhalation,
biceps femoris branch of common fibular nerve,
posterior root of right coccygeal nerve,
t1 ventral column nucleus of right median nerve,
l2 posterior division of left lumbar plexus,
phyllodes tumor,"A type of connective tissue neoplasm arising from intralobular stroma of the breast. It is characterized by the rapid enlargement of an asymmetric firm mobile mass. Histologically, its leaf-like stromal clefts are lined by epithelial cells. [MeSH]"
RID7460,
neuronal component of C4 segment,
upper branch of internal laryngeal nerve to mucosa of pharynx,
left first posterior cervical intertransversarius,
c7 branch to right splenius capitis,
pseudolesion,
lateral cutaneous branch of first intercostal nerve,
trunk of anterior branch of left medial femoral cutaneous nerve,
gastric resection,"Excision of the whole (total gastrectomy) or part (subtotal gastrectomy, partial gastrectomy, gastric resection) of the stomach. (Dorland, 28th ed) [MeSH]"
trunk of right lateral thoracic artery,
external pyramidal layer of left Brodmann area 17,
biopsy instrument,
lateral pectoral nerve component of trunk of anterior ramus of left seventh cervical nerve,
infrapatellar pad region of apical part of left patella,
parietal vein,
distal tendon of clavicular part of deltoid,
ascending branch of meningeal branch of third sacral nerve,
trochlea of talus,
t5 segment of nucleus proprius of spinal cord,
gray communicating ramus of left fourth intercostal nerve,
medial proper palmar digital branch of median nerve to index finger,
superior mental spine of mandible,
superior segment of left corona radiata,
brodmann area 10 of left medial frontal gyrus,
right portal scissura,
left lateral superior olivary nucleus,
perirenal fat,
left palmar metacarpal vein,
lateral surface of cervical part of esophagus,
nerve to left sternohyoid,
white matter of superior temporal gyrus,
nerve to fourth palmar interosseous of hand,
anterior surface of cecum,
left inferior hypophyseal artery,
lateral surface of scalenus anterior,
RID4986,
segment of medullary reticular formation,
lateral pectoral nerve nucleus of ventral column,
right gastroepiploic vein,
branch of tenth intercostal nerve to internal oblique,
Oxilan,
pedicle of axis,
left colic lymph node group proper,
buccal branch of left facial nerve,
conjunctival ring of cornea,
right rubrospinal tract,
transpulmonary blood pool microbubbles,
anterior meningeal branch of anterior ethmoidal artery,
axillary nerve component of trunk of sixth cervical nerve,
fibromuscular part of zone of prostate,
left ventral external arcuate tract,
Ultravist-240,
fragmentation,
head of left dorsal gray column of spinal cord,
lobule IX of left hemisphere of cerebellum,
polar part of lateral occipital gyrus,
white matter of left lateral orbital gyrus,
right intercalated amygdaloid nucleus,
cavernous branch of right internal carotid artery to right trigeminal ganglion,
posterior surface of pyloric antrum,
"lateral occipital cortex, superior division (Ols)",
bursa of elbow,
flat,
layer of retina,
c2 branch to right splenius cervicis,
tendon of abductor pollicis brevis,
trunk of penile root branch of ilioinguinal nerve,
hereditary,genetically transmitted from parent to offspring through DNA
depressor labii muscle,
segment of intermediate hypothalamic region,
distal zone of teres minor,
surface of region of neck of scapula,
lateral cutaneous branch of medial branch of posterior ramus of left fifth thoracic nerve,
fibrous plaque,
extensor digitorum longus,
temporal branch of facial nerve,
gray matter of medial frontal gyrus,
left second lumbar ganglion,
prelaminar branch of spinal branch of third lumbar artery,
t2 segment of left dorsal funiculus of spinal cord,
lingual branch of hypoglossal nerve,
internal pyramidal lamina of left Brodmann area 51,
inferior anterior division segment of ulnar nerve,
Achilles tendon,
trapezoid body,
percutaneous transhepatic biliary drainage,
tributary of ileocolic vein,
vaginal fascia,
obturator sign,"Unilaterally enlarged soft-tissue density on the inner pelvic wall, representing the obturator internus muscle, with medial displacement of the fat pad on a frontal radiograph. Suggests pelvic trauma and hemorrhage or infectious arthritis of the hip joint."
intraventricular,administration within a ventricle.
l4 root of right obturator nerve,
condylomata acuminata,Sexually transmitted form of anogenital warty growth caused by the human papillomaviruses. [MeSH]
scalenus medius branch of left fifth cervical nerve,
nucleus of origin of twelfth thoracic spinal nerve,
lateral root of right median nerve,
gadopentetate dimeglumine,"A complex of gadolinium with a chelating agent, diethylenetriamine penta-acetic acid (dtpa see pentetic acid), that is given to enhance the image in cranial and spinal MRIs. (From Martindale, The Extra Pharmacopoeia, 30th ed, p706) [MeSH]"
right dorsal acoustic stria,
postganglionic segment of posterior root of right sixth cervical spinal nerve,
I-125 iothalamate,
brodmann area 11 of right straight gyrus,
gray matter of coccygeal segment of spinal cord,
middle posterior division segment of C7 root of right thoracodorsal nerve,
double contour sign,"Two right borders of the heart are visible on a frontal radiograph. Suggests enlargement of the left atrium, which may extend beyond the right atrium or produce increased density within."
subdivision of bony labyrinth,
scrotal branch of ilioinguinal nerve,
urine leak,
RID28965,
brodmann area 21 of right superior temporal gyrus,
vasculature of quadrate lobe of liver,
tube potential,
conjunctival branch of supratrochlear nerve,
adventitia of right ureter proper,
t6 segment of right dorsal funiculus of spinal cord,
segment of trunk of anterior division of anterior ramus of seventh cervical nerve,
bone of pelvis,
thoracic subsegment of gracile fasciculus of spinal cord,
gray communicating ramus of right eighth intercostal nerve,
anterior surface of isthmus of uterus,
trunk of branch of right mandibular nerve to otic ganglion,
otosclerosis,"The formation of spongy bone in the labyrinth capsule. The ossicles can become fixed and unable to transmit sound vibrations, thereby causing deafness. [MeSH]"
cardiac branch of vagus nerve,
brodmann area 9 of left cingulate gyrus,
gray matter of L1 segment of spinal cord,
left rotation position,
periumbilical part of abdomen,
nerve to left fourth innermost intercostal muscle,
anterior internal venous plexus,
brodmann area 20 of segment of parahippocampal gyrus,
gray matter of left anterior quadrangular lobule,
acromial part of right deltoid,
transverse colon proper,
deltoid tuberosity,
RID35705,Distance between two cervical spinous processes is unusually large on a supine frontal radiograph. Suggests anterior cervical dislocation at the level of the widened space.
proximal tendon of adductor brevis,
neural network of left cheek,
intertubercular sheath of glenohumeral joint,
left gastropancreatic fold,
radiation of thalamus,
tributary of basilic vein,
syndesmophyte,(plur) Thin and vertically oriented bony outgrowths extending from one vertebral body to the next and representing ossification within the outer portion of the anulus fibrosus.  AJNR
c6 root of left subclavian nerve,
trunk of superficial buccal branch of facial nerve to nasalis,
anterior pancreaticoduodenal lymphatic chain,
right subscapularis,
RID6329,
dura mater of anterior rootlet of right fifth sacral nerve,
masseter muscle,A masticatory muscle whose action is closing the jaws. [MeSH]
t9 segment of left dorsal thoracic nucleus,
musculoskeletal system,
muscle body of palmar interosseous of right hand,
c7 root of right lateral pectoral nerve,
internal surface of anterior wall of ascending part of duodenum,
segment of pulmonary artery,
set of thalamoparietal fibers,
external pyramidal layer of right Brodmann area 29,
dura mater of anterior rootlet of left first sacral nerve,
alimentary air,
proximal metaphysis of proximal phalanx of left little finger,
muscle body of left palmaris brevis,
epiphysis of phalanx of finger,
posterior surface of horizontal part of duodenum,
kidney surgery,
set of ulnar digital nerves to little finger,
articular cartilage of lateral facet of right patella,
anteroinferior zone of greater tubercle of humerus,
mastoid segment of facial nerve,
skin proper of dorsal part of third toe,
nerve to left splenius,
right colic proper lymphatic chain,
trunk of posterior ramus of left fifth cervical nerve,
magnocellular part of left medial dorsal nucleus,
nerve to stylopharyngeus,
internal granular layer of Brodmann area 12,
right eleventh thoracic ganglion,
t1 branch to right semispinalis thoracis,
lumbar interspinous bursitis,
l1 root of right genitofemoral nerve,
right pulmopleural space,
inferior margin of tail of pancreas,
transverse branch of meningeal branch of second cervical nerve,
c5 segment of left cuneate fasciculus of spinal cord,
t5 branch to iliocostalis thoracis,
external surface of abdominal part of esophagus,
fibroepithelial polyp,
subserosa of uterine tube,
lesser trochanter of femur,
RID12802,
subarachnoid fissure,
t7 segment of left posterior spinocerebellar tract,
tumor invasion of adjacent structure,"PIRADS: Tumor extension across anatomical boundary. May relate to tumor extension within the gland, i.e. across regional parts of the prostate, or outside the gland, across the capsule (extracapsular extension of tumor, extraprostatic extension of tumor, extraglandular extension of tumor)."
body of left fornix of forebrain,
