,id,parentId
49,muscle body of deltoid,skeletal muscle body
50,Rathke cleft cyst,cyst
51,c5 root of median nerve,segment of root of median nerve
52,ligament of knee joint,ligament of lower limb
53,distal tendon of right popliteus,distal tendon of popliteus
54,inferior medial heel,segment of foot
55,medial intermuscular septum of thigh,zone of investing fascia of thigh
56,parieto-occipital branch of right pericallosal artery,parieto-occipital branch of pericallosal artery
57,dura mater of posterior root of right second sacral nerve,dura mater of posterior root of second sacral nerve
58,superior root of right ansa cervicalis,superior root of ansa cervicalis
59,rootlet of right twelfth thoracic nerve,rootlet of twelfth thoracic nerve
60,surface of tendon of long head of right triceps brachii,surface of tendon of long head of triceps brachii
61,left external jugular vein,external jugular vein
62,proximal epiphysis of left third metatarsal bone,proximal epiphysis of third metatarsal bone
63,preganglionic segment of posterior root of right fifth lumbar spinal nerve,preganglionic segment of posterior root of fifth lumbar spinal nerve
64,rootlet of left eighth thoracic nerve,rootlet of eighth thoracic nerve
65,myometrium of body of uterus,myometrium of zone of uterus
66,l2 segment of left posterior spinocerebellar tract,l2 segment of posterior spinocerebellar tract
67,trunk of deep branch of lateral plantar nerve,trunk of branch of lateral plantar nerve
68,spring ligament,ligament of talonavicular joint
69,aryepiglottic part of oblique arytenoid muscle,zone of muscle organ
70,intracortical osteosarcoma,osteosarcoma
71,feeding tube placement,tube insertion
72,trunk of left fifth sacral nerve,trunk of fifth sacral nerve
73,dura mater of posterior root of fourth lumbar nerve,dura mater of posterior root of lumbar nerve
74,ethmoidomaxillary suture,cranial suture
75,posterior root of first cervical nerve,posterior root of cervical nerve
76,heterotopic ossification,ossification
77,set of parietopontine fibers,set of neuraxis fibers
78,dorsal intermediate sulcus,subarachnoid sulcus
79,hypertrophy of median lobe of prostate,hypertrophy
80,proximal tendon of right rectus femoris,proximal tendon of rectus femoris
81,arcuate renal vein,tributary of renal vein
82,left anterior orbital gyrus,anterior orbital gyrus
83,medial head of triceps brachii muscle,proximal zone of muscle organ
84,renal tubule,region of uriniferous tubule
85,communicating branch of left auriculotemporal nerve with left otic ganglion,communicating branch of auriculotemporal nerve with otic ganglion
86,sulcal segment of right lateral occipital lobe,sulcal segment of lateral occipital lobe
87,segment of anterior root of spinal nerve,segment of root of nerve
88,biopsy,tissue sampling
89,infundibulum of left uterine tube,infundibulum of uterine tube
90,left Brodmann area 51,brodmann area 51
91,dura mater of posterior root of left fifth thoracic nerve,dura mater of posterior root of fifth thoracic nerve
92,iliac fossa,region of surface of bone organ
93,neural network of right female breast,neural network of female breast
94,meningeal branch of left seventh cervical nerve,meningeal branch of seventh cervical nerve
95,rootlet of right sixth cervical nerve,rootlet of sixth cervical nerve
96,crypt of Lieberkuhn of jejunum,crypt of Lieberkuhn of small intestine
97,avulsion,tear
98,mucosa of pyloric canal,mucosa of zone of stomach
99,internal pyramidal layer of Brodmann area 1,lamina of Brodmann area 1
100,lumbosacral junction,anatomical junction
101,subcentimeter,size descriptor
102,arterial branch of dural artery to spinal dura,branch of posterior intercostal artery
103,endocavitary annular array transducer,mechanical transducer
104,white matter of isthmus of right cingulate gyrus,white matter of isthmus of cingulate gyrus
105,superior anterior pancreaticoduodenal lymph node group,visceral lymph node group of abdomen proper
106,distal tendon of left flexor carpi ulnaris,distal tendon of flexor carpi ulnaris
107,lateral branch of posterior ramus of second thoracic nerve,lateral branch of posterior ramus of thoracic nerve
108,posterior region of medial condyle of right tibia,posterior region of medial condyle of tibia
109,atypical teratoid rhabdoid tumor,stromal neoplasm or complex mixed neoplasm
110,RID14514,Obsolete Radlex Term
111,medial branch to medial part of internal carotid plexus,branch of internal carotid nerve
112,ampulla of right uterine tube,ampulla of fallopian tube
113,communicating branch between right lateral pectoral nerve and right medial pectoral nerve,communicating branch between lateral pectoral nerve and medial pectoral nerve
114,meningeal branch of fourth cervical nerve,meningeal branch of cervical nerve
115,outer sheath of optic nerve,region of leptomeningeal sac
116,left second thoracic spinal ganglion,second thoracic spinal ganglion
117,white communicating ramus of first intercostal nerve,white communicating ramus of intercostal nerve
118,humeral head of right extensor carpi ulnaris,humeral head of extensor carpi ulnaris
119,tendon of right scalenus anterior,tendon of scalenus anterior
120,lumen of left intermediate major calyx,lumen of intermediate major calyx
121,diaphysis of proximal phalanx of index finger,diaphysis of phalanx of index finger
122,branch of median nerve to second lumbrical of hand,branch of median nerve to lumbrical of hand
123,muscle body of gastrocnemius,skeletal muscle body
124,radial nerve component of middle trunk segment of seventh cervical nerve,segment of C7 root of radial nerve
125,heart,organ with cavitated organ parts
126,dura mater of posterior root of right ninth thoracic nerve,dura mater of posterior root of ninth thoracic nerve
127,atherectomy,cardiovascular surgery
128,meningeal branch of first sacral nerve,meningeal branch of sacral nerve
129,calcifications,calcification disorder
130,anterior branch of lateral cutaneous branch of right subcostal nerve,anterior branch of lateral cutaneous branch of subcostal nerve
131,multiple days,temporal entity
132,muscle layer of superior part of duodenum,muscle layer of subdivision of duodenum
133,anterior root of right first sacral nerve,anterior root of first sacral nerve
134,tendon of right third interspinalis lumborum,tendon of third interspinalis lumborum
135,short head region of muscle body of left biceps brachii,short head region of muscle body of biceps brachii
136,lateral cord segment of C5 root of left median nerve,lateral cord segment of C5 root of median nerve
137,internal pyramidal layer of Brodmann area 33,lamina of Brodmann area 33
138,anus,anatomical orifice
139,infraauricular lymph node,deep parotid lymph node
140,median nerve component of anterior root of right seventh cervical nerve,median nerve component of anterior root of seventh cervical nerve
141,distal zone of gastrocnemius,zone of gastrocnemius
142,bird's beak sign of colon,imaging sign
143,right parataenial nucleus,paratenial nucleus
144,neural network of region of limb,neural network of cardinal body part subdivision
145,set of pedal lymphatic vessels,set of extremity lymphatic vessels
146,belly of left subscapularis,belly of subscapularis
147,OrderSupplies,workflow term
148,portal-systemic shunt surgery,esophageal varices therapy
149,tendon of stylohyoid,tendon
150,set of intercostal arteries,set of arteries
151,frontal horn of lateral ventricle,subdivision of lateral ventricle
152,dorsal column-medial lemniscal pathway structure,pathway structure of neuraxis
153,tendon of interspinalis thoracis,tendon
154,median nerve component of trunk of anterior division of anterior ramus of fifth cervical nerve,segment of C5 root of median nerve
155,anatomic space of shoulder girdle,anatomical space
156,extensor digitorum brevis muscle,skeletal muscle of dorsal foot
157,branch of right lingual nerve to right sublingual ganglion,branch of lingual nerve to sublingual ganglion
158,pontine nucleus,nucleus of brain
159,external granular layer of Brodmann area 40,lamina of Brodmann area 40
160,proximal tendon of right rhomboid minor,proximal tendon of rhomboid minor
161,trunk of right sural nerve,trunk of sural nerve
162,rootlet of left first thoracic nerve,rootlet of first thoracic nerve
163,lymphangioleiomyomatosis,lymphatic vessel neoplasm
164,muscle body of right extensor hallucis longus,muscle body of extensor hallucis longus
165,long tube insertion,tube insertion
166,RID13309,Obsolete Radlex Term
167,tendon of left extensor digitorum to left middle finger,tendon of extensor digitorum to middle finger
168,portion of serous fluid,portion of body fluid suspension
169,molecular layer of cerebellar cortex,gray matter layer of cerebellum
170,probably,certainty descriptor
171,paraspinal,anatomically-related descriptor
172,t3 segment of marginal zone of right dorsal gray column of spinal cord,t3 segment of marginal zone of dorsal gray column of spinal cord
173,muscular tributary of ventral tributary of left lumbar vein,muscular tributary of ventral tributary of lumbar vein
174,vessels in rim of tumor,tumor vascularity
175,suprascapular nerve component of superior trunk segment of right fifth cervical nerve,suprascapular nerve component of superior trunk segment of fifth cervical nerve
176,superior trunk segment of right median nerve,superior trunk segment of median nerve
177,aneurysm,vascular disorder
178,Throckmorton sign,imaging sign
179,pectoral branch of thoraco-acromial artery,subdivision of thoraco-acromial artery
180,mandibular canal,cranial conduit space
181,brodmann area 41 of right superior temporal gyrus,brodmann area 41 of superior temporal gyrus
182,left anterior transverse temporal gyrus,anterior transverse temporal gyrus
183,uranium,chemical element
184,medial dorsal digital nerve of right big toe,medial dorsal digital nerve of big toe
185,set of renal columns of left kidney,set of renal columns
186,plasmacytoma,plasma cell granuloma
187,spinal branch of right fourth lumbar artery,spinal branch of fourth lumbar artery
188,mucosa of sigmoid colon,mucosa of segment of colon
189,medial longitudinal fasciculus of midbrain,fasciculus of brain
190,posterior cutaneous branch of posterior ramus of lumbar nerve,cutaneous branch of posterior ramus of lumbar nerve
191,Neuhaser sign,imaging sign
192,articular cartilage of fibular facet of tibia,articular cartilage
193,trunk of lateral ampullary nerve,trunk of branch of vestibular nerve
194,nerve to left flexor digitorum superficialis,nerve to flexor digitorum superficialis
195,occipital lobe proper,segment of cerebral lobe
196,diaphysis of left radius,diaphysis of radius
197,notch region of left scapula,notch region of scapula
198,left limitans nucleus,limitans nucleus
199,OrderCreated,workflow term
200,connective tissue of serosa of liver,connective tissue of region of visceral peritoneum
201,brodmann area 40 of left postcentral gyrus,brodmann area 40 of postcentral gyrus
202,medial proper palmar digital branch of right median nerve to right middle finger,medial proper palmar digital branch of median nerve to middle finger
203,neural network of bony part of fourth metatarsal bone,neural network of bony part of metatarsal bone
204,branch of posterior superior alveolar artery,branch of maxillary artery
205,posterior temporal branch of right middle cerebral artery,posterior temporal branch of middle cerebral artery
206,fiducial marker,marker
207,moulage sign,imaging sign
208,rugal fold of zone of stomach,region of wall of stomach
209,adventitia of subdivision of minor calyx,adventitia of region of ureter
210,synovial fold,anatomical fold
211,right radial recurrent artery,radial recurrent artery
212,segment of medial frontal gyrus,segment of gyrus of frontal lobe
213,oblique muscle layer of body of stomach,middle muscle layer of zone of stomach
214,prostatic part of inferior vesical artery,subdivision of inferior vesical artery
215,basal surface proper of cerebral hemisphere,subdivision of basal surface of cerebral hemisphere
216,left Brodmann area 37,Brodmann area 37
217,trunk of interosseous branch of lateral terminal branch of left deep fibular nerve,trunk of interosseous branch of lateral terminal branch of deep fibular nerve
218,right medial mammillary nucleus,medial mammillary nucleus
219,nerve to right nasalis,nerve to nasalis
220,communicating branch between left medial common plantar digital nerve with left third common plantar digital nerve,communicating branch between medial common plantar digital nerve with third common plantar digital nerve
221,left medial longitudinal fasciculus of medulla,medial longitudinal fasciculus of medulla
222,gray communicating ramus to second cervical spinal nerve,lateral branch of superior cervical ganglion
223,tributary of superior thalamostriate vein,tributary of internal cerebral vein
224,muscle layer of left intermediate major calyx,muscle layer of intermediate major calyx
225,lateral head of left flexor hallucis brevis,lateral head of flexor hallucis brevis
226,dura mater of anterior rootlet of right fifth lumbar nerve,dura mater of anterior rootlet of fifth lumbar nerve
227,transplantation,surgical procedure
228,superior laryngeal vein,subdivision of internal jugular vein
229,t8 segment of right dorsal funiculus of spinal cord,t8 segment of dorsal funiculus of spinal cord
230,set of vaginal nerves,set of nerves
231,ventral branch of lumbar artery,branch of lumbar artery
232,outer layer of endometrium,layer of endometrium
233,zone of fascia lata,zone of investing fascia of thigh
234,set of minor renal calyces,set of organ subdivisions of kidney
235,middle posterior division segment of C7 root of right radial nerve,middle posterior division segment of C7 root of radial nerve
236,glandular branch of inferior thyroid artery,subdivision of inferior thyroid artery
237,articular branch of median nerve,branch of median nerve
238,not requiring a physician,physician requirement
239,superficial peroneal retinaculum,peroneal retinacula
240,posteromedial,orientation descriptor
241,left second lumbar vein,second lumbar vein
242,gray matter of anterior cingulate gyrus,gray matter of gyrus of limbic lobe
243,adventitia,organ component layer
244,subgyral segment of right occipital lobe,subgyral segment of occipital lobe
245,laterodorsal tegmental nucleus,nucleus of midbrain tegmentum
246,infraclavicular lymph node,superficial lymph node of thorax
247,rim sign of pelvis,imaging sign
248,region of investing fascia of hand,region of organ component
249,diaphysis of phalanx of ring finger,diaphysis of phalanx of finger
250,articular cartilage of acromion,articular cartilage of scapula
251,medial head of right gastrocnemius,medial head of gastrocnemius
252,zone of abdominal aorta,zone of aorta
253,left rostromedial auditory cortex,rostromedial auditory cortex
254,superior recess of anterior mediastinum,subdivision of anterior mediastinal space
255,thoracodorsal nerve component of posterior root of left sixth cervical nerve,thoracodorsal nerve component of posterior root of sixth cervical nerve
256,circular muscle layer of thoracic part of esophagus,circular muscle layer of segment of esophagus
257,right inguinal triangle,inguinal triangle
258,tendon of right temporalis,tendon of temporalis
259,right spinalis thoracis,spinalis thoracis
260,ascending branch of inferior mesenteric artery,branch of inferior mesenteric artery
261,right inferior laryngeal artery,inferior laryngeal artery
262,left suboccipital nerve,suboccipital nerve
263,metallic,composition descriptor
264,trunk of pre-brachial plexus segment of C6 component of median nerve,segment of lateral root of median nerve
265,branch of olfactory nerve,nerve
266,white matter of left supracallosal gyrus,white matter of supracallosal gyrus
267,medial branch of posterior ramus of left tenth thoracic nerve,medial branch of posterior ramus of tenth thoracic nerve
268,dilation procedure type,balloon dilatation attribute
269,CT dose length product,CT procedure attribute
270,wire,implantable device
271,plantar nail matrix of toe,subdivision of nail bed of toe
272,segment of musculocutaneous nerve nucleus of spinal cord,segment of peripheral nerve nucleus
273,subdivision of eustachian tube,organ segment
274,malleolar stria of tympanic membrane,bona fide anatomical line
275,c8 segment of right lateral corticospinal tract,c8 segment of lateral corticospinal tract
276,lymphadenopathy,enlargement
277,lateral dorsal digital branch of radial nerve to right index finger,third dorsal digital branch of radial nerve
278,cutaneous branch of lateral branch of posterior ramus of left third lumbar nerve,cutaneous branch of lateral branch of posterior ramus of third lumbar nerve
279,left dorsal gray column of spinal cord,dorsal column of gray matter
280,trunk of branch of left recurrent laryngeal nerve to left posterior crico-arytenoid,trunk of branch of recurrent laryngeal nerve to posterior crico-arytenoid
281,anterior chest wall,region of chest wall
282,polar temporal artery,temporal artery
283,homogeneous background echotexture,echotexture
284,proximal interphalangeal joint of finger,interphalangeal joint of finger
285,intermediate nail matrix of right second toe,intermediate nail matrix of second toe
286,c7 ventral column nucleus of left lateral pectoral nerve,c7 ventral column nucleus of lateral pectoral nerve
287,trunk of anterior branch of obturator nerve,trunk of branch of obturator nerve
288,c4 segment of left lateral corticospinal tract,c4 segment of lateral corticospinal tract
289,neuroglial network of C1 segment of spinal cord,neuroglial network of cervical subsegment of spinal cord
290,cutaneous branch of lateral branch of posterior ramus of right twelfth thoracic nerve,cutaneous branch of lateral branch of posterior ramus of twelfth thoracic nerve
291,linear enhancement,non-mass enhancement distribution
292,tympanic lamella,zone of osseous spiral lamina
293,neural tissue of right facial nerve,neural tissue of facial nerve
294,superficial part of organ,organ zone
295,branch of right anterior choroidal artery to right amygdaloid body,branch of anterior choroidal artery to amygdala
296,left upper hemithorax,upper hemithorax
297,lateral branch of posterior ramus of seventh thoracic nerve to longissimus thoracis,muscular branch of lateral branch of posterior ramus of seventh thoracic nerve
298,tympanic canaliculus,cranial conduit space
299,trunk of transversus perinei profundus muscle branch of right perineal nerve,trunk of deep transverse muscle branch of perineal nerve
300,gastric gland proper,region of gastric gland
301,disc bulge,intervertebral disc degeneration
302,s2 segment of left ventral gray column of spinal cord,s2 segment of ventral gray column of spinal cord
303,juxtaarticular cyst,cyst
304,right insular artery,insular artery
305,parietoorbital oblique projection,radiographic projection
306,upper zone of subscapularis,zone of subscapularis
307,s2 segment of left dorsal gray column of spinal cord,s2 segment of dorsal gray column of spinal cord
308,RID11526,Obsolete Radlex Term
309,segment of superior frontal gyrus,segment of gyrus of frontal lobe
310,intraprostatic part of left ejaculatory duct,intraprostatic part of ejaculatory duct
311,basal surface of left cerebral hemisphere,basal surface of cerebral hemisphere
312,infracolic space,subdivision of peritoneal cavity
313,medial condylar facet of patella,zone of patella
314,dura mater of anterior root of tenth thoracic nerve,dura mater of anterior root of thoracic nerve
315,tendon of second palmar interosseous of left hand,tendon of second palmar interosseous of hand
316,s2 segment of substantia gelatinosa,sacral subsegment of substantia gelatinosa
317,s1 root of right posterior femoral cutaneous nerve,s1 root of posterior femoral cutaneous nerve
318,trunk of branch of right hypoglossal nerve to right ansa cervicalis,trunk of branch of hypoglossal nerve to ansa cervicalis
319,right bulbo-urethral gland,Cowpers gland
320,distal metaphysis of proximal phalanx of right little finger,distal metaphysis of proximal phalanx of little finger
321,RID35529,Obsolete Radlex Term
322,opponens digiti minimi muscle of hand,hypothenar muscle
323,tennis racquet sign,imaging sign
324,ostium of lobular duct of pancreas,orifice of pancreatic duct
325,medial antebrachial cutaneous nerve component of trunk of anterior division of anterior ramus of left eighth cervical nerve,medial antebrachial cutaneous nerve component of trunk of anterior division of anterior ramus of eighth cervical nerve
326,trunk of sphincter ani externus branch of perineal nerve,trunk of muscular branch of perineal nerve
327,l4 segment of left substantia gelatinosa,l4 segment of substantia gelatinosa
328,polar part of left inferior frontal gyrus,polar part of inferior frontal gyrus
329,region of peripheral zone of prostate,region of organ component
330,left lateral aortic lymphatic chain,lateral aortic lymphatic chain
331,t1-L2 segment of right ventral gray column of spinal cord,t1-L2 segment of ventral gray column of spinal cord
332,right spino-olivary tract of spinal cord,spino-olivary tract of spinal cord
333,vein of right uncus,vein of uncus
334,distal metaphysis of proximal phalanx of ring finger,distal metaphysis of phalanx of ring finger
335,peripheral segment of facial nerve,peripheral segment of cranial nerve
336,intertubercular sulcus of diaphysis of right humerus,intertubercular sulcus of diaphysis of humerus
337,multiform layer of left frontal lobe,multiform layer of frontal lobe
338,body of left scapula,body of scapula
339,trunk of branch of temporal branch of right facial nerve to right corrugator supercilii,trunk of branch of temporal branch of facial nerve to corrugator supercilii
340,lateral dorsal digital branch of radial nerve to left ring finger,lateral dorsal digital branch of radial nerve to ring finger
341,muscular branch of median nerve,branch of median nerve
342,runoff,orderable technique
343,retinitis,inflammation
344,lateral surface of right scalenus medius,lateral surface of scalenus medius
345,trunk of communicating branch of left internal laryngeal nerve with left recurrent laryngeal nerve,trunk of communicating branch of internal laryngeal nerve with recurrent laryngeal nerve
346,posterior wall of horizontal part of duodenum,region of wall of duodenum
347,subarachnoid fossa,zone of subarachnoid space
348,belly of clavicular head of left sternocleidomastoid,belly of clavicular head of sternocleidomastoid
349,transpleural,anatomically-related descriptor
350,thick septae,mass enhancement pattern
351,skin of third toe,skin of toe
352,intermediately aggressive,aggressiveness descriptor
353,set of rootlets of sixth cervical nerve,set of rootlets of cervical nerve
354,cardiac branch of right vagus to deep cardiac plexus,cardiac branch of vagus nerve
355,retropharyngeal space of head,peripharyngeal space
356,region of organ surface,bona fide anatomical surface
357,RID7104,Obsolete Radlex Term
358,right cerebellar vein,cerebellar vein
359,left third dorsal digital nerve,third dorsal digital nerve
360,tendon of left semitendinosus,semitendinosus tendon
361,distal tendon of left deltoid,distal tendon of deltoid
362,posterior wall of duodenum,region of wall of duodenum
363,peripheral segment of left seventh cervical spinal nerve,peripheral segment of seventh cervical spinal nerve
364,articular facet of patella,region of surface of patella
365,constricted,morphologic descriptor
366,branch of anterior choroidal artery to retrolentiform limb of internal capsule,branch of anterior choroidal artery
367,belly of biceps femoris,muscle belly
368,neuroglial network of L4 segment of spinal cord,neuroglial network of lumbar subsegment of spinal cord
369,superficial peroneal nerve,branch of common peroneal nerve
370,Lindblom view,named imaging view
371,area of origin of right fibular collateral ligament,area of origin of fibular collateral ligament
372,lingual aponeurosis,aponeurosis
373,mucosa of ampulla of right uterine tube,mucosa of ampulla of uterine tube
374,anterior rootlet of left ninth thoracic nerve,anterior rootlet of ninth thoracic nerve
375,posterior part of abdominal peritoneum,region of parietal peritoneum
376,inferior branch of right oculomotor nerve,inferior branch of oculomotor nerve
377,trunk of branch of saphenous nerve,trunk of branch of femoral nerve
378,right lateral view,lateral view
379,root of right second thoracic nerve,root of second thoracic nerve
380,zero-filling,interpolation
381,neural tissue of left oculomotor nerve,neural tissue of oculomotor nerve
382,meningeal branch of right hypoglossal nerve to wall of right inferior petrosal sin,meningeal branch of hypoglossal nerve to wall of inferior petrosal sinus
383,ovarian ligament,nonskeletal ligament
384,t1 branch to iliocostalis thoracis,muscular branch of lateral branch of posterior ramus of first thoracic nerve
385,pseudocapsule (liver),liver imaging observation
386,wall of vestibular part of lesser sac,region of wall of lesser sac
387,trunk of pulmonary vein,trunk of vein
388,posterior rootlet of right fifth thoracic nerve,posterior rootlet of fifth thoracic nerve
389,greater curvature of stomach (line),anatomical line of stomach
390,right side of chest,region of anterior chest
391,t9 segment of left ventral gray column of spinal cord,t9 segment of ventral gray column of spinal cord
392,vasculature of upper gastro-intestinal tract,vasculature of organ system subdivision
393,plexiform layer of right Brodmann area 24,plexiform layer of Brodmann area 24
394,internal granular layer of right Brodmann area 18,internal granular layer of Brodmann area 18
395,subtendinous bursa of right triceps brachii,subtendinous bursa of triceps brachii
396,septum of organ,region of organ component
397,pseudoaneurysm,vascular disorder
398,calcification,mineral deposition disorder
399,left diaphragmatic peritoneum,diaphragmatic peritoneum
400,posterior palpebral margin,anatomical line
401,posterior ligament of pinna,ligament of pinna
402,anterior rootlet of first lumbar nerve,anterior rootlet of lumbar nerve
403,region of wall of lesser sac,region of peritoneum
404,trunk of thoracic cardiac branch of left vagus nerve,trunk of thoracic cardiac branch of vagus nerve
405,intramuscular lipoma,lipoma
406,mixed margin,margin
407,descending branch of meningeal branch of right third thoracic nerve,descending branch of meningeal branch of third thoracic nerve
408,axillary lymph node,lymph node of upper limb
409,right deep infrapatellar bursa,deep infrapatellar bursa
410,lamina propria mucosae of ascending colon,lamina propria mucosae of segment of colon
411,skin of plantar part of right big toe,skin of plantar part of big toe
412,set of muscular branches of intercostal nerves,set of nerves
413,third cervical nerve,cervical nerve
414,Lung-RADS assessment,assessment
415,epinephrine,hormone
416,skeletal muscle of anterior thigh,skeletal muscle of thigh
417,anterior wall of distal part of jejunum,region of wall of jejunum
418,preganglionic segment of posterior root of left fifth cervical spinal nerve,preganglionic segment of posterior root of fifth cervical spinal nerve
419,rhomboid occipitalis branch of right dorsal scapular artery,rhomboid occipitalis branch of dorsal scapular artery
420,neuroglial network of white matter of T8 segment,neuroglial network of white matter of thoracic subsegment of spinal cord
421,set of rootlets of left first cervical nerve,set of rootlets of first cervical nerve
422,right fifth anterior cervical intertransversarius,fifth anterior cervical intertransversarius
423,brodmann area 32 of right cingulate gyrus,brodmann area 32 of cingulate gyrus
424,interosseous ligament of left fourth carpometacarpal joint,interosseous ligament of fourth carpometacarpal joint
425,median nerve component of trunk proper of anterior ramus of right first thoracic nerve,median nerve component of trunk proper of anterior ramus of first thoracic nerve
426,acellular membrane,acellular anatomical structure
427,labium majus branch of left ilioinguinal nerve,labium majus branch of ilioinguinal nerve
428,anterior inferior segmental branch of left renal artery,anterior inferior segmental renal artery
429,multiform layer of right Brodmann area 16,multiform layer of Brodmann area 16
430,high-attenuating crescent sign,imaging sign
431,left gastro-epiploic lymph node,gastro-epiploic lymph node
432,incisura tentorii,anatomical line
433,proximal segment of C7 root of lateral pectoral nerve,segment of C7 root of lateral pectoral nerve
434,radicular branch of vertebral artery,spinal branch of vertebral artery
435,lateral part of scapula,zone of scapula
436,lateral lip of left bicipital groove,lateral lip of bicipital groove
437,peripheral segment of left fifth thoracic spinal nerve,peripheral segment of fifth thoracic spinal nerve
438,long bone,bone organ
439,ventral white commissure,white matter of spinal cord
440,posterior rootlet of right second cervical nerve,posterior rootlet of second cervical nerve
441,superficial needle biopsy,core needle biopsy
442,interganglionic branch of inferior cervical ganglion to first thoracic ganglion,interganglionic branch of variant inferior cervical ganglion
443,intestinal lymphatic vessel,visceral abdominal lymphatic vessel
444,ulnar nerve component of trunk of left eighth cervical nerve,ulnar nerve component of trunk of eighth cervical nerve
445,left inferior cervical ganglion,inferior cervical ganglion
446,lateral flexure of rectum,zone of rectum
447,segment of T1 root of median nerve,segment of medial root of median nerve
448,neural network of trunk,neural network of cardinal body part subdivision
449,right costoclavicular compartment,costoclavicular compartment
450,brodmann area 31 of left limbic lobe,brodmann area 31 of limbic lobe
451,palmar ligament of right fifth carpometacarpal joint,palmar ligament of fifth carpometacarpal joint
452,ureteric segment of right renal artery,ureteric segment of renal artery
453,wall of abdomen,subdivision of abdomen
454,distal zone of right latissimus dorsi,distal zone of latissimus dorsi
455,puboprostatic ligament,dense endopelvic fascia
456,opercular part of right inferior frontal gyrus,opercular part of inferior frontal gyrus
457,external pyramidal layer of Brodmann area 52,lamina of brodmann area 52
458,RID6514,Obsolete Radlex Term
459,subdivision of apical part of transition zone of prostate,subdivision of transition zone of prostate
460,halo sign of lung,imaging sign
461,cardresp gated,gating
462,port placement,device placement procedure
463,triceps branch of right circumflex scapular artery,triceps branch of circumflex scapular artery
464,joint of lower extremity,joint
465,myxoid chondrosarcoma,chondrosarcoma
466,right fifth sacral ganglion,fifth sacral ganglion
467,anterior cutaneous branch of right ninth intercostal nerve,anterior cutaneous branch of ninth intercostal nerve
468,branch of dorsal scapular nerve,branch of peripheral nerve
469,thoracodorsal nerve component of trunk of posterior division of anterior ramus of seventh cervical nerve,segment of C7 root of thoracodorsal nerve
470,sharp kernel,CT reconstruction filter
471,oropharyngeal,anatomically-related descriptor
472,left ophthalmic nerve,ophthalmic nerve
473,trunk of subcostal nerve,trunk of branch of thoracic nerve
474,radial nerve branch of posterior division of anterior ramus of left sixth cervical nerve,radial nerve branch of posterior division of anterior ramus of sixth cervical nerve
475,proximal epiphysis of left second metacarpal bone,proximal epiphysis of second metacarpal bone
476,posterior rootlet of left seventh cervical nerve,posterior rootlet of seventh cervical nerve
477,gemistocytic astrocytoma,astrocytoma WHO grade II
