id,parentId
ventral branch of lumbar artery,branch of lumbar artery
outer layer of endometrium,layer of endometrium
zone of fascia lata,zone of investing fascia of thigh
set of minor renal calyces,set of organ subdivisions of kidney
middle posterior division segment of C7 root of right radial nerve,middle posterior division segment of C7 root of radial nerve
glandular branch of inferior thyroid artery,subdivision of inferior thyroid artery
articular branch of median nerve,branch of median nerve
not requiring a physician,physician requirement
superficial peroneal retinaculum,peroneal retinacula
posteromedial,orientation descriptor
left second lumbar vein,second lumbar vein
gray matter of anterior cingulate gyrus,gray matter of gyrus of limbic lobe
adventitia,organ component layer
subgyral segment of right occipital lobe,subgyral segment of occipital lobe
laterodorsal tegmental nucleus,nucleus of midbrain tegmentum
infraclavicular lymph node,superficial lymph node of thorax
rim sign of pelvis,imaging sign
region of investing fascia of hand,region of organ component
diaphysis of phalanx of ring finger,diaphysis of phalanx of finger
articular cartilage of acromion,articular cartilage of scapula
medial head of right gastrocnemius,medial head of gastrocnemius
zone of abdominal aorta,zone of aorta
left rostromedial auditory cortex,rostromedial auditory cortex
superior recess of anterior mediastinum,subdivision of anterior mediastinal space
thoracodorsal nerve component of posterior root of left sixth cervical nerve,thoracodorsal nerve component of posterior root of sixth cervical nerve
circular muscle layer of thoracic part of esophagus,circular muscle layer of segment of esophagus
right inguinal triangle,inguinal triangle
tendon of right temporalis,tendon of temporalis
right spinalis thoracis,spinalis thoracis
ascending branch of inferior mesenteric artery,branch of inferior mesenteric artery
right inferior laryngeal artery,inferior laryngeal artery
left suboccipital nerve,suboccipital nerve
metallic,composition descriptor
trunk of pre-brachial plexus segment of C6 component of median nerve,segment of lateral root of median nerve
branch of olfactory nerve,nerve
white matter of left supracallosal gyrus,white matter of supracallosal gyrus
medial branch of posterior ramus of left tenth thoracic nerve,medial branch of posterior ramus of tenth thoracic nerve
dilation procedure type,balloon dilatation attribute
CT dose length product,CT procedure attribute
wire,implantable device
plantar nail matrix of toe,subdivision of nail bed of toe
segment of musculocutaneous nerve nucleus of spinal cord,segment of peripheral nerve nucleus
subdivision of eustachian tube,organ segment
malleolar stria of tympanic membrane,bona fide anatomical line
c8 segment of right lateral corticospinal tract,c8 segment of lateral corticospinal tract
lymphadenopathy,enlargement
lateral dorsal digital branch of radial nerve to right index finger,third dorsal digital branch of radial nerve
cutaneous branch of lateral branch of posterior ramus of left third lumbar nerve,cutaneous branch of lateral branch of posterior ramus of third lumbar nerve
left dorsal gray column of spinal cord,dorsal column of gray matter
trunk of branch of left recurrent laryngeal nerve to left posterior crico-arytenoid,trunk of branch of recurrent laryngeal nerve to posterior crico-arytenoid
anterior chest wall,region of chest wall
polar temporal artery,temporal artery
homogeneous background echotexture,echotexture
proximal interphalangeal joint of finger,interphalangeal joint of finger
intermediate nail matrix of right second toe,intermediate nail matrix of second toe
c7 ventral column nucleus of left lateral pectoral nerve,c7 ventral column nucleus of lateral pectoral nerve
trunk of anterior branch of obturator nerve,trunk of branch of obturator nerve
c4 segment of left lateral corticospinal tract,c4 segment of lateral corticospinal tract
neuroglial network of C1 segment of spinal cord,neuroglial network of cervical subsegment of spinal cord
cutaneous branch of lateral branch of posterior ramus of right twelfth thoracic nerve,cutaneous branch of lateral branch of posterior ramus of twelfth thoracic nerve
linear enhancement,non-mass enhancement distribution
tympanic lamella,zone of osseous spiral lamina
neural tissue of right facial nerve,neural tissue of facial nerve
superficial part of organ,organ zone
branch of right anterior choroidal artery to right amygdaloid body,branch of anterior choroidal artery to amygdala
left upper hemithorax,upper hemithorax
lateral branch of posterior ramus of seventh thoracic nerve to longissimus thoracis,muscular branch of lateral branch of posterior ramus of seventh thoracic nerve
tympanic canaliculus,cranial conduit space
trunk of transversus perinei profundus muscle branch of right perineal nerve,trunk of deep transverse muscle branch of perineal nerve
gastric gland proper,region of gastric gland
disc bulge,intervertebral disc degeneration
s2 segment of left ventral gray column of spinal cord,s2 segment of ventral gray column of spinal cord
juxtaarticular cyst,cyst
right insular artery,insular artery
parietoorbital oblique projection,radiographic projection
upper zone of subscapularis,zone of subscapularis
s2 segment of left dorsal gray column of spinal cord,s2 segment of dorsal gray column of spinal cord
RID11526,Obsolete Radlex Term
segment of superior frontal gyrus,segment of gyrus of frontal lobe
intraprostatic part of left ejaculatory duct,intraprostatic part of ejaculatory duct
basal surface of left cerebral hemisphere,basal surface of cerebral hemisphere
infracolic space,subdivision of peritoneal cavity
medial condylar facet of patella,zone of patella
dura mater of anterior root of tenth thoracic nerve,dura mater of anterior root of thoracic nerve
tendon of second palmar interosseous of left hand,tendon of second palmar interosseous of hand
s2 segment of substantia gelatinosa,sacral subsegment of substantia gelatinosa
s1 root of right posterior femoral cutaneous nerve,s1 root of posterior femoral cutaneous nerve
trunk of branch of right hypoglossal nerve to right ansa cervicalis,trunk of branch of hypoglossal nerve to ansa cervicalis
right bulbo-urethral gland,Cowpers gland
distal metaphysis of proximal phalanx of right little finger,distal metaphysis of proximal phalanx of little finger
RID35529,Obsolete Radlex Term
opponens digiti minimi muscle of hand,hypothenar muscle
tennis racquet sign,imaging sign
ostium of lobular duct of pancreas,orifice of pancreatic duct
medial antebrachial cutaneous nerve component of trunk of anterior division of anterior ramus of left eighth cervical nerve,medial antebrachial cutaneous nerve component of trunk of anterior division of anterior ramus of eighth cervical nerve
trunk of sphincter ani externus branch of perineal nerve,trunk of muscular branch of perineal nerve
l4 segment of left substantia gelatinosa,l4 segment of substantia gelatinosa
polar part of left inferior frontal gyrus,polar part of inferior frontal gyrus
region of peripheral zone of prostate,region of organ component
left lateral aortic lymphatic chain,lateral aortic lymphatic chain
t1-L2 segment of right ventral gray column of spinal cord,t1-L2 segment of ventral gray column of spinal cord
right spino-olivary tract of spinal cord,spino-olivary tract of spinal cord
vein of right uncus,vein of uncus
distal metaphysis of proximal phalanx of ring finger,distal metaphysis of phalanx of ring finger
peripheral segment of facial nerve,peripheral segment of cranial nerve
intertubercular sulcus of diaphysis of right humerus,intertubercular sulcus of diaphysis of humerus
multiform layer of left frontal lobe,multiform layer of frontal lobe
body of left scapula,body of scapula
trunk of branch of temporal branch of right facial nerve to right corrugator supercilii,trunk of branch of temporal branch of facial nerve to corrugator supercilii
lateral dorsal digital branch of radial nerve to left ring finger,lateral dorsal digital branch of radial nerve to ring finger
muscular branch of median nerve,branch of median nerve
runoff,orderable technique
retinitis,inflammation
lateral surface of right scalenus medius,lateral surface of scalenus medius
trunk of communicating branch of left internal laryngeal nerve with left recurrent laryngeal nerve,trunk of communicating branch of internal laryngeal nerve with recurrent laryngeal nerve
posterior wall of horizontal part of duodenum,region of wall of duodenum
subarachnoid fossa,zone of subarachnoid space
belly of clavicular head of left sternocleidomastoid,belly of clavicular head of sternocleidomastoid
transpleural,anatomically-related descriptor
thick septae,mass enhancement pattern
skin of third toe,skin of toe
intermediately aggressive,aggressiveness descriptor
set of rootlets of sixth cervical nerve,set of rootlets of cervical nerve
cardiac branch of right vagus to deep cardiac plexus,cardiac branch of vagus nerve
retropharyngeal space of head,peripharyngeal space
region of organ surface,bona fide anatomical surface
RID7104,Obsolete Radlex Term
right cerebellar vein,cerebellar vein
left third dorsal digital nerve,third dorsal digital nerve
tendon of left semitendinosus,semitendinosus tendon
distal tendon of left deltoid,distal tendon of deltoid
posterior wall of duodenum,region of wall of duodenum
peripheral segment of left seventh cervical spinal nerve,peripheral segment of seventh cervical spinal nerve
articular facet of patella,region of surface of patella
constricted,morphologic descriptor
branch of anterior choroidal artery to retrolentiform limb of internal capsule,branch of anterior choroidal artery
belly of biceps femoris,muscle belly
neuroglial network of L4 segment of spinal cord,neuroglial network of lumbar subsegment of spinal cord
superficial peroneal nerve,branch of common peroneal nerve
Lindblom view,named imaging view
area of origin of right fibular collateral ligament,area of origin of fibular collateral ligament
lingual aponeurosis,aponeurosis
mucosa of ampulla of right uterine tube,mucosa of ampulla of uterine tube
anterior rootlet of left ninth thoracic nerve,anterior rootlet of ninth thoracic nerve
posterior part of abdominal peritoneum,region of parietal peritoneum
inferior branch of right oculomotor nerve,inferior branch of oculomotor nerve
trunk of branch of saphenous nerve,trunk of branch of femoral nerve
right lateral view,lateral view
root of right second thoracic nerve,root of second thoracic nerve
zero-filling,interpolation
neural tissue of left oculomotor nerve,neural tissue of oculomotor nerve
meningeal branch of right hypoglossal nerve to wall of right inferior petrosal sin,meningeal branch of hypoglossal nerve to wall of inferior petrosal sinus
ovarian ligament,nonskeletal ligament
t1 branch to iliocostalis thoracis,muscular branch of lateral branch of posterior ramus of first thoracic nerve
pseudocapsule (liver),liver imaging observation
wall of vestibular part of lesser sac,region of wall of lesser sac
trunk of pulmonary vein,trunk of vein
posterior rootlet of right fifth thoracic nerve,posterior rootlet of fifth thoracic nerve
greater curvature of stomach (line),anatomical line of stomach
right side of chest,region of anterior chest
t9 segment of left ventral gray column of spinal cord,t9 segment of ventral gray column of spinal cord
vasculature of upper gastro-intestinal tract,vasculature of organ system subdivision
plexiform layer of right Brodmann area 24,plexiform layer of Brodmann area 24
internal granular layer of right Brodmann area 18,internal granular layer of Brodmann area 18
subtendinous bursa of right triceps brachii,subtendinous bursa of triceps brachii
septum of organ,region of organ component
pseudoaneurysm,vascular disorder
calcification,mineral deposition disorder
left diaphragmatic peritoneum,diaphragmatic peritoneum
posterior palpebral margin,anatomical line
posterior ligament of pinna,ligament of pinna
anterior rootlet of first lumbar nerve,anterior rootlet of lumbar nerve
region of wall of lesser sac,region of peritoneum
trunk of thoracic cardiac branch of left vagus nerve,trunk of thoracic cardiac branch of vagus nerve
intramuscular lipoma,lipoma
mixed margin,margin
descending branch of meningeal branch of right third thoracic nerve,descending branch of meningeal branch of third thoracic nerve
axillary lymph node,lymph node of upper limb
right deep infrapatellar bursa,deep infrapatellar bursa
lamina propria mucosae of ascending colon,lamina propria mucosae of segment of colon
skin of plantar part of right big toe,skin of plantar part of big toe
set of muscular branches of intercostal nerves,set of nerves
third cervical nerve,cervical nerve
Lung-RADS assessment,assessment
epinephrine,hormone
skeletal muscle of anterior thigh,skeletal muscle of thigh
anterior wall of distal part of jejunum,region of wall of jejunum
preganglionic segment of posterior root of left fifth cervical spinal nerve,preganglionic segment of posterior root of fifth cervical spinal nerve
rhomboid occipitalis branch of right dorsal scapular artery,rhomboid occipitalis branch of dorsal scapular artery
neuroglial network of white matter of T8 segment,neuroglial network of white matter of thoracic subsegment of spinal cord
set of rootlets of left first cervical nerve,set of rootlets of first cervical nerve
right fifth anterior cervical intertransversarius,fifth anterior cervical intertransversarius
brodmann area 32 of right cingulate gyrus,brodmann area 32 of cingulate gyrus
interosseous ligament of left fourth carpometacarpal joint,interosseous ligament of fourth carpometacarpal joint
median nerve component of trunk proper of anterior ramus of right first thoracic nerve,median nerve component of trunk proper of anterior ramus of first thoracic nerve
acellular membrane,acellular anatomical structure
labium majus branch of left ilioinguinal nerve,labium majus branch of ilioinguinal nerve
anterior inferior segmental branch of left renal artery,anterior inferior segmental renal artery
multiform layer of right Brodmann area 16,multiform layer of Brodmann area 16
high-attenuating crescent sign,imaging sign
left gastro-epiploic lymph node,gastro-epiploic lymph node
incisura tentorii,anatomical line
proximal segment of C7 root of lateral pectoral nerve,segment of C7 root of lateral pectoral nerve
radicular branch of vertebral artery,spinal branch of vertebral artery
lateral part of scapula,zone of scapula
lateral lip of left bicipital groove,lateral lip of bicipital groove
peripheral segment of left fifth thoracic spinal nerve,peripheral segment of fifth thoracic spinal nerve
long bone,bone organ
ventral white commissure,white matter of spinal cord
posterior rootlet of right second cervical nerve,posterior rootlet of second cervical nerve
superficial needle biopsy,core needle biopsy
interganglionic branch of inferior cervical ganglion to first thoracic ganglion,interganglionic branch of variant inferior cervical ganglion
intestinal lymphatic vessel,visceral abdominal lymphatic vessel
ulnar nerve component of trunk of left eighth cervical nerve,ulnar nerve component of trunk of eighth cervical nerve
left inferior cervical ganglion,inferior cervical ganglion
lateral flexure of rectum,zone of rectum
segment of T1 root of median nerve,segment of medial root of median nerve
neural network of trunk,neural network of cardinal body part subdivision
right costoclavicular compartment,costoclavicular compartment
brodmann area 31 of left limbic lobe,brodmann area 31 of limbic lobe
palmar ligament of right fifth carpometacarpal joint,palmar ligament of fifth carpometacarpal joint
ureteric segment of right renal artery,ureteric segment of renal artery
wall of abdomen,subdivision of abdomen
distal zone of right latissimus dorsi,distal zone of latissimus dorsi
puboprostatic ligament,dense endopelvic fascia
opercular part of right inferior frontal gyrus,opercular part of inferior frontal gyrus
external pyramidal layer of Brodmann area 52,lamina of brodmann area 52
RID6514,Obsolete Radlex Term
subdivision of apical part of transition zone of prostate,subdivision of transition zone of prostate
halo sign of lung,imaging sign
cardresp gated,gating
port placement,device placement procedure
triceps branch of right circumflex scapular artery,triceps branch of circumflex scapular artery
joint of lower extremity,joint
myxoid chondrosarcoma,chondrosarcoma
right fifth sacral ganglion,fifth sacral ganglion
anterior cutaneous branch of right ninth intercostal nerve,anterior cutaneous branch of ninth intercostal nerve
branch of dorsal scapular nerve,branch of peripheral nerve
thoracodorsal nerve component of trunk of posterior division of anterior ramus of seventh cervical nerve,segment of C7 root of thoracodorsal nerve
sharp kernel,CT reconstruction filter
oropharyngeal,anatomically-related descriptor
left ophthalmic nerve,ophthalmic nerve
trunk of subcostal nerve,trunk of branch of thoracic nerve
radial nerve branch of posterior division of anterior ramus of left sixth cervical nerve,radial nerve branch of posterior division of anterior ramus of sixth cervical nerve
proximal epiphysis of left second metacarpal bone,proximal epiphysis of second metacarpal bone
posterior rootlet of left seventh cervical nerve,posterior rootlet of seventh cervical nerve
gemistocytic astrocytoma,astrocytoma WHO grade II
apex of arytenoid cartilage,zone of arytenoid cartilage
trunk of left medial plantar nerve,trunk of medial plantar nerve
extraprostatic part of ejaculatory duct,region of ejaculatory duct
sphenoethmoidal synchondrosis,synchondrosis of skull
right splenius capitis,splenius capitis
glottis,subdivision of larynx
dorsal nail matrix of left second toe,dorsal nail matrix of second toe
medial branch of second thoracic ganglion,medial branch of thoracic ganglion
neuronal component of T6 segment,neuronal component of thoracic subsegment of spinal cord
craniocaudal projection,radiographic projection
mucosa of region of uterine tube,region of mucosa
t1 dorsal column nucleus of right ulnar nerve,t1 dorsal column nucleus of ulnar nerve
trunk of posterior pulmonary nerve plexus,trunk of pulmonary nerve plexus
posterior pararenal space,region of retroperitoneal space
embryonal neuroepithelial neoplasm,neuroepitheliomatous neoplasm
medial zone of superior part of body of left scapula,medial zone of superior part of body of scapula
parenchyma of inferior renal segment,parenchyma of renal segment
dorsal branch of right first lumbar artery,dorsal branch of first lumbar artery
RID29045,Obsolete Radlex Term
oxidant gas inhalation,toxic gas inhalation
biceps femoris branch of common fibular nerve,branch of common peroneal nerve
posterior root of right coccygeal nerve,posterior root of coccygeal nerve
t1 ventral column nucleus of right median nerve,t1 ventral column nucleus of median nerve
l2 posterior division of left lumbar plexus,l2 posterior division of lumbar plexus
phyllodes tumor,fibroepithelial neoplasm
RID7460,Obsolete Radlex Term
neuronal component of C4 segment,neuronal component of cervical subsegment of spinal cord
upper branch of internal laryngeal nerve to mucosa of pharynx,upper branch of internal laryngeal nerve
left first posterior cervical intertransversarius,first posterior cervical intertransversarius
c7 branch to right splenius capitis,c7 branch to splenius capitis
pseudolesion,enhancement
lateral cutaneous branch of first intercostal nerve,lateral cutaneous branch of intercostal nerve
trunk of anterior branch of left medial femoral cutaneous nerve,trunk of anterior branch of medial femoral cutaneous nerve
gastric resection,stomach surgery
trunk of right lateral thoracic artery,trunk of lateral thoracic artery
